en,ja
!Bug!,!Bug!
"""4WD - Crimson Comet""",「4WD-クリムゾン・コメット」
"""4WD - Street Legend""",「4WD-ストリート・レジェンド」
"""4WD - Wasteland Knight""",「4WD-ウェイストランド・ナイト」
"""A Promise Unbroken""",「バラさないよ」
"""Absolute Trouble""",「いたずら大好き」
"""After the Battle""",「激闘の果て」
"""An Invitation or Provocation?""",「お誘い、それとも挑発？」
"""Anonymity""",「名無し」
"""BFFs""",「最高の友達」
"""Backstream""",「巻き戻し」
"""Bangboo, Ready to Work!""",「ボンプ代理出勤！」
"""Black Boxing Gloves""",「黒いグローブ」
"""Bodhi Has No Tree""",「元から何もなかった」
"""Careful Contemplation""",「長考」
"""Change of plans""",「計画通り」じゃない
"""Clarity of Mind""",「雑念を払う」
"""Consequences"" of Trusting Inter-Knot",インターノットを信じた「結果」
"""Conservative"" Opinion",「保守派」の意見
"""Cool Your Flames With Herbal Tea!""",「カラダすこやか漢方茶！」
"""Cover Me!""",「援護して！」
"""Documentary Film""",「ドキュメンタリー映画」
"""Drastic Measures""",「断根枯葉」
"""Drink Hot Water""",「白湯は万病に効く」
"""En-Nah"" Assistant Program",「ンナナ」助教プロジェクト
"""En-Nah"" Chess Legend",「ンナナ」棋聞録
"""En-Nah"" Chess Saga",「ンナナ」棋士伝
"""En-Nah"" Into Your Lap",棚から「ンナンナ」
"""En-Nah"" Treasure Hunt",「ンナナ」お宝探し
"""Ending Theme""",「エンディングテーマ」
"""Everyone Get Fired Up!""",「共に燃えようか」
"""Fairy""",「Fairy」
"""Feathered Blade Approaching""",「刹那の羽刃」
"""Fight On!""",「激闘！」
"""Final Emergency Plan""",「最終応急プラン」
"""First Time on Stage""",「初めてのステージ」
"""Good Friends""",「親友」
"""Good Paying Jobs Are Hard to Find""",「高収入の求人を探すなら」
"""Goodbye, Holidays""",「グッバイホリデイ」
"""Great Value for Money!""",「安くて良い品！」
"""Greater Hermit of the City""",「真のつわものは市井に隠れる」
"""Hello, I am...""",「もしもし、こちら…」
"""Help...!""",「助けて！」
"""Hero's Path""",「大侠の道」
"""Hollow Hunters""",「ホロウ・ハンターズ」
"""Honest to Goodness!""",「キレイな商売！」
