en,ja
Zenless Zone Zero,ゼンレスゾーンゼロ
Hollow,ホロウ
New Eridu,新エリー都
Proxy,プロキシ
Anby Demara,アンビー・デマラ
Cunning Hares,邪兎屋
Agents,エージェント
Event,イベント
Nicole Demara,ニコ・デマラ
Inter-Knot,インターノット
Belobog Heavy Industries,白祇重工
Victoria Housekeeping Co.,ヴィクトリア家政
Hollow Raider,ホロウレイダー
Hollow Investigative Association,ホロウ調査協会
Hollow Raider,ホロウレイダー
Billy Kid,ビリー・キッド
Soldier 11,「11号」
Wise,アキラ
Belle,リン
Phaethon,「パエトーン」
Nekomiya Mana,猫宮又奈
Corin Wickes,カリン・ウィクス
Von Lycaon,フォン・ライカン
Eous,イアス
Hoshimi Miyabi,星見雅
Koleda Belobog,クレタ・ベロボーグ
Anton Ivanov,アンドー・イワノフ
Ben Bigger,ベン・ビガー
Hollow Special Operations Section 6,対ホロウ特別行動部第六課
Obol Squad,オボルス小隊
Business x Strangeness x Justness,商機×怪奇×仁義
Denny,ディニー
Gear Coin,ギアコイン
Cat's Lost & Found (A),猫の落とし物（上）
Cat's Lost & Found (B),猫の落とし物（下）
A Surprise,とあるアクシデント
Hollow Survival Guide,ホロウ防災マニュアル
Mutated Corruption,侵蝕異化
Proxy Business,プロキシ
Logistics Disaster,配送トラブル
The Hare and the Proxy,兎と縄
Emergency,事件は突然に
The Proxy and the Hare,縄と兎
Hacking Attack,ハッカーの侵入
Reconnected,再接続
"""Fairy""",「Fairy」
Resonium,レゾブレム
[Duel] Nunchucks,[決闘]ヌンチャク
[Duel] Shock Gloves,[決闘]ボクシンググローブ
[Duel] Baseball Bat,[決闘]野球バット
[Duel] Joiner's Hammer,[決闘]大工の金槌
[Duel] Brass Knuckles,[決闘]メリケンサック
[Duel] Bench,[決闘]観客席のベンチ
[Critical] Sniper Scope,[会心]ライフルスコープ
[Duel] Tonfa,[決闘]トンファー
[Critical] Spare Magazine,[会心]予備マガジン
[Critical] Duelist,[会心]清算の使者
[Critical] Muzzle Compensator,[会心]コンペンセイター
[Critical] RPG Shell,[会心]RPGロケット弾
[Critical] Gatling Gun,[会心]ガトリング砲
[Critical] Doombringer,[会心]パニックダイナマイト
[Critical] Sawn-Off Shotgun,[会心]ソードオフショットガン
[Dodge] Sneakers,[回避]エアクッションスニーカー
[Dodge] Skate Shoes,[回避]スケートシューズ
[Dodge] Skateboard,[回避]スケートボード
[Dodge] Fencing Sword,[回避]軽やかなフルーレ
[Dodge] Skis,[回避]スノーボード
[Dodge] Yoga Ball,[回避]ヨガボール
[Dodge] Tennis Racket,[回避]テニスラケット
[Ignite] Molten Gloves,[着火]熔炎グローブ
[Ignite] Deluxe Lighter,[着火]豪奢ライター
[Ignite] Electric Torch,[着火]電子トーチ
[Ignite] Blowtorch,[着火]火槍バーナー
[Ignite] Pulse Igniter,[着火]パルス点火装置
[Ignite] Molotov Cocktail,[着火]火炎瓶
[Ignite] Flamethrower,[着火]怒炎放射器
[Ignite] Top-Notch Charcoal,[着火]果樹の木炭
[Freeze] Freezing Gloves,[凍結]氷触グローブ
[Freeze] Portable Cooler,[凍結]クーラーボックス
[Freeze] Ice Bag,[凍結]アイスパック
[Freeze] Ice Bucket,[凍結]高級アイスペール
[Freeze] Portable Ice Maker,[凍結]携帯用アイスメーカー
[Freeze] Ice Shaver,[凍結]手動かき氷機
[Freeze] Freezing Gun,[凍結]氷柱銃
[Combat] Infusion Bag,[逆境]輸液パック
[Freeze] Freezing Spray,[凍結]瞬間冷却スプレー
[Combat] Instant Hormone,[逆境]アドレナリン・ブースター
[Combat] Heart Booster,[逆境]強心剤
[Combat] Steelskin Pill,[逆境]肉体硬化薬
[Combat] Refreshing Capsule,[逆境]眠気防止カプセル
[Shield] Fingerless Gloves,[シールド]指ぬきグローブ
[Shield] Warm Bracers,[シールド]防寒リストガード
[Shield] Blast Shield,[シールド]ライオットシールド
[Shield] Warm Bracers,[シールド]防寒リストガード
[Shield] War Boots,[シールド]ミリタリーブーツ
[Shield] Riot Helmet,[シールド]機動隊ヘルメット
[Shock] Conductive Coil,[感電]導電コイル
[Shield] Punk Belt,[シールド]パンクなベルト
[Shock] Current Gloves,[感電]放電グローブ
[Shock] EMP Grenade,[感電]EMPグレネード
[Shield] Elastic Kneepads,[シールド]弾力性膝パット
[Shock] Thunder Whip,[感電]電気ムチ
[Shock] Electric Baton,[感電]護身用ブレイクガン
[Shock] Tesla Sphere,[感電]プラズマボール
[Energy] Neon Cola,[エネルギー]ネオンコーラ
[Shock] Lightning Trident,[感電]雷撃スピア
[Energy] Sharp Smile,[エネルギー]シャープスマイル
[Energy] Leman,[エネルギー]レマン
[Shock] Stun Gun,[感電]ショックガン
[Energy] Scarlet Noble: Lemon,[エネルギー]紅男爵・ライム
[Energy] Power Up,[エネルギー]エレキスエット
[Energy] TANKA: BBQ Flavor,[エネルギー]タンカー・焼肉味
[Energy] Scarlet Noble Special,[エネルギー]紅男爵・シークレット
[Energy] Orange God,[エネルギー]オレンジゴッド
[Hollow] Piggy bank,[ホロウ]ブタの貯金箱
[Hollow] Lucky Cat,[ホロウ]招き猫
[Hollow] Coin Collection,[ホロウ]コインアルバム
[Hollow] Glass Marbles,[ホロウ]ビー玉
[Hollow] Expired VIP Card,[ホロウ]期限切れの会員カード
[Hollow] Paper Airplane,[ホロウ]紙ひこうき
[Hollow] Casino Banknote,[ホロウ]紙幣チップ
[Hollow] Mini Punch Bag,[ホロウ]ミニサンドバッグ
[Hollow] Water Gun,[ホロウ]水鉄砲
