Warm-Up Exercises,"When Drill Attack hits an enemy, Anton gains additional Energy, up to a maximum of 5 Energy per skill use. ""Are you awake? Get spinning, bro!"" ""Try and keep up. It's time to do our stretches!""",ウォーミングアップ,『ドリル攻撃』が敵に命中すると、追加でエネルギーを回復する。 1回の攻撃で、この効果はアンドーのエネルギーを最大5Pt回復できる。 「目が覚めたか？さぁ回るぞ、兄弟！」 「オラてめぇら、朝の体操の時間だ！ついて来い！」
State of Flow,"When Anton uses his EX Special Attack and enters Burst Mode , he gains a Shield that equals to 7.5% of his max HP. While in Burst Mode , entering combat or switching in reapplies the Shield effect. This effect can trigger once every 15s. The Shield dissipates when Burst Mode ends. After arduous training, a few lucky individuals will display exceptional vigor and perform above their usual level during high-intensity activities, entering a state of flow commonly known as ""being in the zone."" Are you ready to get moving and enter the zone? — Nitro-Fuel's exclusive program ""Good Morning, Zealous Office Workers!""",気焔万丈,『強化特殊スキル』を発動して『爆発状態』に入った時、アンドーはHP上限7.5%分のシールドを生成する。『爆発状態』で接敵状態にい入るか、キャラ切替で出場するとシールド効果はリセットされる、15秒に1回のみ発動可能。『爆発状態』が終わると、シールド効果が終了する。 長期に渡り厳しい訓練を重ねた末、激しい運動の最中に、己の限界を超えたパフォーマンスを発揮できる者が現れる。 その状態は俗に「ゾーン」と呼ばれている。 さあ！体を動かし、「ゾーン」に入る準備はできたかな？ ——ニトロフューエル提供番組「おはよう、熱血サラリーマン！」より
Rotational Training,"Basic Attack, Dodge, Assist, Special Attack, and Chain Attack Lv. +2 Knowing a bit of everything may seem underwhelming, but in a complex and ever-changing Hollow worksite, having a wide skillset can present an opportunity to overcome difficulties.",ローテーション訓練,『通常攻撃』、『回避』、『支援スキル』、『特殊スキル』、『連携スキル』のスキルレベル+2 どんなことでも少しはできる、というのは平凡としか言いようがない。 しかし複雑で変化しやすいホロウの現場において、スキルが一つ増えることは、窮地を打開する可能性が一つ増えることを意味する。
Everyone Get Fired Up!,"When Anton uses a Chain Attack or Ultimate , all squad members' CRIT Rate increases by 10% for 12s. ""Find your rhythm, and let's get moving!"" When Anton starts to get serious, everyone becomes more nimble. They have to keep up or else they will be training alone the next day.",みんなで共に燃えようか！,『連携スキル』または『終結スキル』を発動した時、メンバー全員の会心率+10%、継続時間12秒。 「いつもの訓練を思い出せオラ！行くぞ！」 アンドーが本気を出すと、皆の動きにもキレが出る。 彼のペースについて行かなければ、罰として朝の体操を居残りでやるハメになるからだ。
Jack of All Trades,"Basic Attack, Dodge, Assist, Special Attack, and Chain Attack Lv. +2 Knowing a bit of everything may seem underwhelming, but if you are resolute enough to change from ""knowing a bit"" to ""being excellent,"" then you become omnipotent!",フルスタック・エキスパート,『通常攻撃』、『回避』、『支援スキル』、『特殊スキル』、『連携スキル』のスキルレベル+2 どんなことでも少しはできる、というのは平凡としか言いようがない。 だが、もし「少しはできる」から「とても得意」になってやるという覚悟があるなら、それはオールマイティになれるということだ！
Break the Limit,"When Anton's Piledriver Attack triggers a critical hit, his Basic Attack: Enthusiastic Drills (Burst Mode) and Dodge Counter: Overload Drill (Burst Mode) deal 4% more DMG for 30s, stacking up to 6 times. Repeated triggers reset the duration. ""Yeah bro, can you feel the burn?"" Whenever Anton wants to exceed his limits, his ""bro"" starts spinning at an astonishing pace, its buzzing echoing Anton's resolution.",極限突破,『杭打ち攻撃』が会心を出すと、『通常攻撃：熱血準備体操（爆発状態）』および『回避反撃：オーバーロード・ドリルブレイク（爆発状態）』の与ダメージ+4%、最大6重まで重ね掛け可能、継続時間30秒。重複して発動すると継続時間が更新される。 「おう兄弟！お前も燃えたいか！」 アンドーが限界を突破しようとするたび、彼の「兄弟」は驚異的な速さで回転し、そのモーター音で意志に応える。
Basic Attack: Enthusiastic Drills,"Press  to activate. Unleashes up to 4 mixed attacks in front, dealing Physical DMG. The 4th-hit is a Piledriver Attack.",通常攻撃：熱血準備体操, を押して発動：  前方に最大4段の混合攻撃を放ち、物理属性ダメージを与える。  4段目は『杭打ち攻撃』になる。
Basic Attack: Enthusiastic Drills (Burst Mode),"Press  while Anton is in Burst Mode to activate. Unleashes up to 3 mixed attacks in front of him, dealing massive Electric DMG. During the 2nd Drill Attack and 3rd Pile Driver Attack, repeatedly pressing or holding  increases the attack duration.",通常攻撃：熱血準備体操（爆発状態）,『爆発状態』で  を押して発動：  前方に最大3段の混合攻撃を放ち、電気属性ダメージを大量に与える。  2段目の『ドリル攻撃』と3段目の『杭打ち攻撃』の間に、  を連打または長押しすると、スキルの継続時間が延長される。
Dodge: Let's Move,Press  to activate. A rapid dodge. Character is invulnerable while using this skill.,回避：体を動かせ！, を押して発動：  ダッシュで高速回避する。  スキル発動中、無敵効果を得る。
Dash Attack: Fire With Fire,"Press  during a Dodge to activate. Rams into enemies in front of him, dealing Physical DMG.",ダッシュ攻撃：正面衝突,回避時に  を押して発動：  前方にタックルし、物理属性ダメージを与える。
Dodge Counter: Retaliation,"Press  during a Perfect Dodge to activate. Continuously strikes enemies in front of him with heavy punches, dealing Physical DMG. Character is invulnerable while using this attack.",回避反撃：拳骨応酬,『極限回避』後にを押して発動：  前方の敵に強烈な打撃を連続で繰り出し、物理属性ダメージを与える。  スキル発動中、無敵効果を得る。
Dodge Counter: Overload Drill (Burst Mode),"While in Burst Mode, press  during a Perfect Dodge to activate. Launches a Drill Attack at enemies in front of him, dealing massive Electric DMG  Character is invulnerable during the attack.",回避反撃：オーバーロード・ドリルブレイク（爆発状態）,『爆発状態』で『極限回避』後にを押して発動：  前方の敵に『ドリル攻撃』を放ち、電気属性ダメージを大量に与える。  スキル発動中、無敵効果を得る。
Quick Assist: Shoulder-To-Shoulder,"When the character in combat is launched, press  to activate. Continuously strikes enemies in front of him with heavy punches, dealing Physical DMG. Character is invulnerable during the attack.",クイック支援：肩を並べて,操作しているメンバーが吹き飛ばされた時に、を押して発動：  前方の敵に強烈な打撃を連続で繰り出し、物理属性ダメージを与える。  スキル発動中、無敵効果を得る。
Quick Assist: Protective Drill (Burst Mode),"When the on-field character is launched, press  to activate. Attacks enemies in front with a Drill Attack, dealing massive Electric DMG. Character is invulnerable during the attack.",クイック支援：サポート・ドリルブレイク（爆発状態）,操作しているメンバーが吹き飛ばされた時に、  を押して発動：  前方の敵に『ドリル攻撃』を放ち、電気属性ダメージを大量に与える。  スキル発動中、無敵効果を得る。
Defensive Assist: Iron Wrist,"When the character on field is about to be attacked, press  to activate. Parries the enemy's attack, dealing massive Daze. This skill excels at parrying enemy attacks and reduces the consumption of Assist Points when the character is under intense attacks. Character is invulnerable while using this skill.",パリィ支援：鉄腕,出場中のメンバーが攻撃されそうになった時に、を押して発動：  敵の攻撃をパリィし、ブレイク値を大量に蓄積する。  パリィ性能はかなり高い。激しい攻撃を受けている際は「支援ポイント」の消費量が減少する。  スキル発動中、無敵効果を得る。
Assist Follow-Up: Limit Burst,"Press  after a Defensive Assist to activate. Launches a Drill Attack that ends in a Pile Driver Attack, dealing Electric DMG. Character is invulnerable while using this skill.",支援突撃：極限突進,『パリィ支援』発動後、 を押して発動：  前方の敵に『ドリル攻撃』を放った後、『杭打ち攻撃』でとどめを刺して電気属性ダメージを与える。  スキル発動中、無敵効果を得る。
"Special Attack: Spin, Bro!","Press  to activate. Unleashes a Pile Driver Attack against enemies in a line in front, dealing Electric DMG. Anti-Interrupt level is increased while using this skill.",特殊スキル：回れ、兄弟！, を押して発動：  前方の直線範囲内の敵に『杭打ち攻撃』を放ち、電気属性ダメージを与える。  スキル発動中、中断耐性レベルがアップする。
Special Attack: Explosive Drill (Burst Mode),"Press  while in Burst Mode to activate. Launches a Pile Driver Attack at enemies in front, dealing Electric DMG. Anti-Interrupt level is increased while using this skill.",強化特殊スキル：兄弟、天を衝け！,エネルギーが溜まっている状態で  を押して発動：  前方の直線範囲内の敵に『杭打ち攻撃』を数段放ち、電気属性ダメージを大量に与える。  スキル発動中、無敵効果を得る。  スキル発動後、アンドーは『爆発状態』に入る。『爆発状態』のアンドーはより強力なスキルを使い、電気属性ダメージを大量に与える。スキルがターゲットに命中するとともに、エネルギーが徐々に消費されていく。エネルギーが尽きると、アンドーの『爆発状態』が終了する。
"EX Special Attack: Smash the Horizon, Bro!","When Anton has enough Energy, press  to activate. Launches several Pile Driver Attacks at enemies in a line in front of him, dealing massive Electric DMG.  Character is invulnerable while using this skill.  Anton enters Burst Mode after using this skill.  When in Burst Mode, Anton's attacks become more powerful, dealing massive Electric DMG while continually consuming Energy upon hitting an enemy. Burst Mode remains active for up to 30 seconds or until his Energy is depleted.",特殊スキル：バースト・ドリルブレイク（爆発状態）,『爆発状態』で  を押して発動：  前方の敵に『杭打ち攻撃』を放ち、電気属性ダメージを与える。  スキル発動中、中断耐性レベルがアップする。
Chain Attack: Go Go Go!,"When a Chain Attack is triggered, select the character to activate. Unleashes a Pile Driver Attack onto the ground in front of him over a large area, dealing massive Electric DMG to enemies within range. Character is invulnerable while using this skill.",連携スキル：回れ回れ！,『連携スキル』開始時に、対応するエージェントを選択して発動。  前方の地面に広範囲の『杭打ち攻撃』を放ち、範囲内の敵に電気属性ダメージを大量に与える。  スキル発動中、無敵効果を得る。
Ultimate: Go Go Go Go Go!,"When Decibel Rating is at Maximum, press  to activate. Unleashes a Pile Driver Attack onto the ground in front of him over a large area, dealing massive Electric DMG to enemies within range.  Character is invulnerable while using this skill.",終結スキル：回れ！回れ！！回れ！！！,デシベルレートが『Maximum』に達した時に  を押して発動。  前方の地面に広範囲の『杭打ち攻撃』を放ち、範囲内の敵に電気属性ダメージを大量に与える。  スキル発動中、無敵効果を得る。
Core Passive: Brothers in Arms!,"When Anton uses his Pile Driver Attack, the skill's DMG is increased by 12%. When he uses his Drill Attack, the skill's DMG is increased by 17.5%.",コアパッシブ：兄弟と一つに！,アンドーが『杭打ち攻撃』を発動した時、スキルの与ダメージ+12/14/16/18/20/22/24%。『ドリル攻撃』を発動した時、スキルの与ダメージ+20/23.3/26.6/30/33.3/36.6/40%。
Additional Ability: Teamwork,"When another character in your squad shares the same Attribute or Faction: While Anton is in Burst Mode and when attacking Shocked enemies, for every 5 critical hits, an additional bout of Shock DMG is triggered at 30% of the original DMG. This effect can trigger once every 0.5s.",追加能力：一致協力,チームに自身と同じ属性または同じ陣営のメンバーがいる時に発動：  『爆発状態』で、会心を4回出すごとに、次の攻撃が「感電」状態の敵に命中すると、本来の45%分の「感電」ダメージをさらに1回追加で与える、0.5秒に1回のみ発動可能。
